                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95353,                 2.3709,                 1.3029,                0.80969,                 0.7805,                0.88762,                0.74879,                0.62724,                 1.9078,                 1.0535,             0.00040799,             0.00040799,             0.00040799
                      2,                0.58218,                 1.0584,                 1.0019,                0.94987,                0.68708,                0.90496,                 0.7535,                0.60079,                 1.4165,                0.99086,             0.00081649,             0.00081649,             0.00081649
                      3,                0.55536,                0.87189,                0.98386,                0.97458,                0.98254,                0.98133,                0.82147,                0.69381,                 1.0616,                  1.109,              0.0012167,              0.0012167,              0.0012167
                      4,                0.55071,                0.80594,                0.97251,                0.96394,                0.96081,                0.98974,                0.89871,                0.44416,                0.76683,                0.88683,              0.0012129,              0.0012129,              0.0012129
                      5,                0.49615,                0.67684,                0.95267,                0.98125,                0.96924,                0.99289,                0.90963,                0.45518,                0.60652,                0.91512,              0.0012005,              0.0012005,              0.0012005
                      6,                0.46758,                0.61395,                0.94089,                 0.9702,                0.96331,                0.97033,                0.88531,                 0.4428,                0.59757,                0.92274,              0.0011881,              0.0011881,              0.0011881
                      7,                0.45108,                0.54703,                0.93352,                0.94739,                0.98864,                0.98667,                0.91078,                0.43193,                0.58055,                0.89808,              0.0011757,              0.0011757,              0.0011757
                      8,                0.45321,                0.52274,                0.93612,                0.96001,                0.95748,                0.98715,                0.90813,                0.40816,                0.60393,                0.86598,              0.0011634,              0.0011634,              0.0011634
                      9,                0.43767,                0.47419,                0.91709,                0.98895,                0.94827,                0.97769,                0.86805,                0.55575,                0.60064,                 1.0138,               0.001151,               0.001151,               0.001151
                     10,                0.42469,                0.45305,                0.92264,                0.96714,                0.98529,                0.98335,                0.90012,                0.44627,                0.43557,                0.86912,              0.0011386,              0.0011386,              0.0011386
                     11,                0.43474,                0.44754,                0.92509,                0.98582,                0.99002,                0.99488,                0.91703,                 0.3712,                0.39921,                0.84115,              0.0011263,              0.0011263,              0.0011263
                     12,                0.42088,                0.43019,                0.91686,                0.97809,                0.99694,                0.99488,                0.92865,                0.39415,                0.38679,                0.86643,              0.0011139,              0.0011139,              0.0011139
                     13,                0.39433,                0.38572,                0.90523,                0.95248,                0.98254,                0.98817,                0.92598,                0.38034,                0.39973,                0.87772,              0.0011015,              0.0011015,              0.0011015
                     14,                0.38313,                0.36304,                0.91183,                0.99606,                0.98783,                0.99167,                0.92604,                0.35346,                0.31354,                0.84116,              0.0010891,              0.0010891,              0.0010891
                     15,                0.37892,                0.36193,                0.90742,                0.98889,                0.98661,                0.98596,                0.91562,                0.37879,                0.34187,                0.85223,              0.0010768,              0.0010768,              0.0010768
                     16,                0.38563,                0.35767,                0.90501,                0.97176,                0.98521,                 0.9901,                0.92138,                0.38366,                0.37779,                0.86838,              0.0010644,              0.0010644,              0.0010644
                     17,                0.36807,                 0.3426,                 0.9008,                0.98732,                0.97144,                 0.9815,                0.92496,                0.35531,                0.33229,                0.84216,               0.001052,               0.001052,               0.001052
                     18,                0.37273,                0.34516,                0.90635,                0.98807,                0.99104,                0.99488,                0.94217,                0.33544,                0.27975,                0.82439,              0.0010396,              0.0010396,              0.0010396
                     19,                0.36891,                0.33035,                0.90505,                0.98403,                0.99767,                0.99488,                0.94732,                0.33715,                0.27276,                0.83343,              0.0010273,              0.0010273,              0.0010273
                     20,                0.35612,                0.32134,                0.90486,                0.99327,                0.98652,                0.99457,                0.94802,                0.31167,                0.27855,                 0.8197,              0.0010149,              0.0010149,              0.0010149
                     21,                0.36824,                0.32994,                0.90092,                0.98791,                0.99437,                0.99488,                0.95167,                0.30726,                0.26658,                0.82231,              0.0010025,              0.0010025,              0.0010025
                     22,                0.36447,                0.31326,                  0.902,                0.99136,                 0.9767,                0.99381,                0.93522,                0.34291,                0.27918,                0.83294,             0.00099013,             0.00099013,             0.00099013
                     23,                0.34728,                0.31525,                0.89338,                0.99544,                 0.9875,                0.99446,                0.92994,                0.34048,                0.27157,                 0.8389,             0.00097775,             0.00097775,             0.00097775
                     24,                0.35458,                0.30773,                0.89603,                0.98168,                0.99979,                0.99446,                0.94109,                0.34005,                0.26001,                0.83175,             0.00096537,             0.00096537,             0.00096537
                     25,                 0.3421,                0.30284,                0.89424,                0.97756,                0.99852,                0.99337,                0.96008,                 0.3072,                0.25361,                0.81746,               0.000953,               0.000953,               0.000953
                     26,                0.33264,                 0.2838,                 0.8906,                0.99087,                0.98273,                0.99445,                0.95061,                0.31666,                0.23867,                0.80984,             0.00094062,             0.00094062,             0.00094062
                     27,                0.32705,                0.28713,                0.88931,                0.99216,                0.97803,                  0.995,                0.95156,                0.30055,                0.24332,                0.81398,             0.00092825,             0.00092825,             0.00092825
                     28,                0.33002,                0.28229,                 0.8887,                0.99666,                  0.991,                  0.995,                 0.9596,                0.29992,                0.24118,                0.81197,             0.00091588,             0.00091588,             0.00091588
                     29,                0.32806,                0.27964,                0.89091,                0.99535,                0.99627,                  0.995,                0.95775,                 0.3047,                0.21181,                0.81561,              0.0009035,              0.0009035,              0.0009035
                     30,                0.31252,                0.27067,                0.88713,                0.99583,                 0.9888,                  0.995,                0.94801,                0.29656,                0.23914,                0.81348,             0.00089112,             0.00089112,             0.00089112
                     31,                0.32327,                0.27845,                0.88758,                0.99525,                0.97727,                0.99402,                0.96169,                0.29213,                 0.2134,                0.80117,             0.00087875,             0.00087875,             0.00087875
                     32,                 0.3294,                0.27826,                0.88493,                0.99521,                0.98864,                0.99129,                0.95071,                0.29453,                0.24549,                 0.8115,             0.00086637,             0.00086637,             0.00086637
                     33,                  0.325,                0.27011,                0.89092,                0.98901,                      1,                  0.995,                0.96243,                0.28456,                0.23628,                0.80289,               0.000854,               0.000854,               0.000854
                     34,                0.31739,                0.26369,                0.87846,                0.99296,                      1,                  0.995,                0.94879,                0.30808,                0.20119,                0.81824,             0.00084162,             0.00084162,             0.00084162
                     35,                0.32124,                0.26631,                0.88506,                0.99294,                0.99915,                  0.995,                0.95526,                 0.2826,                0.21131,                0.80763,             0.00082925,             0.00082925,             0.00082925
                     36,                0.32101,                0.26481,                0.88341,                0.99577,                      1,                  0.995,                0.96571,                0.27722,                0.20465,                0.79413,             0.00081688,             0.00081688,             0.00081688
                     37,                0.31545,                0.26417,                0.88974,                0.99276,                0.98677,                0.99417,                0.95214,                0.28295,                0.21444,                 0.7981,              0.0008045,              0.0008045,              0.0008045
                     38,                0.31176,                0.26154,                0.88183,                0.98896,                0.99857,                  0.995,                0.96456,                0.27743,                0.20989,                0.80368,             0.00079213,             0.00079213,             0.00079213
                     39,                0.31542,                0.26329,                0.88526,                0.97896,                      1,                0.99457,                 0.9513,                0.29485,                0.21165,                0.81022,             0.00077975,             0.00077975,             0.00077975
                     40,                 0.3123,                0.25271,                0.88286,                0.98437,                0.99767,                0.99359,                0.96289,                0.28794,                0.19772,                0.80036,             0.00076738,             0.00076738,             0.00076738
                     41,                0.30885,                0.25047,                0.87705,                0.99485,                0.99248,                0.99488,                0.96102,                0.30186,                0.21427,                0.80556,               0.000755,               0.000755,               0.000755
                     42,                0.31814,                0.25924,                0.88888,                0.99316,                0.98254,                0.98919,                0.94925,                0.28028,                  0.233,                0.79553,             0.00074263,             0.00074263,             0.00074263
                     43,                0.29498,                0.24001,                0.87397,                 0.9965,                0.98602,                0.99111,                0.95545,                0.29157,                0.21497,                0.81461,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.3047,                0.24223,                0.88161,                0.98956,                0.98864,                0.99445,                 0.9697,                0.27474,                  0.208,                0.79405,             0.00071788,             0.00071788,             0.00071788
                     45,                0.30071,                0.24309,                0.87224,                0.99065,                0.98987,                  0.995,                0.96116,                 0.2866,                0.20834,                0.79931,              0.0007055,              0.0007055,              0.0007055
                     46,                0.29767,                0.24256,                  0.873,                 0.9936,                0.98724,                0.99417,                0.96682,                0.26127,                0.19263,                0.79172,             0.00069313,             0.00069313,             0.00069313
                     47,                 0.2858,                0.23444,                 0.8794,                0.98752,                0.98632,                0.99405,                0.95976,                0.27337,                0.18677,                0.78816,             0.00068075,             0.00068075,             0.00068075
                     48,                0.29637,                0.23869,                0.88375,                0.98737,                      1,                  0.995,                0.96095,                0.27455,                0.19431,                0.79216,             0.00066838,             0.00066838,             0.00066838
                     49,                 0.2828,                0.22728,                 0.8754,                0.98901,                0.98864,                0.99417,                0.96722,                0.28001,                0.20172,                 0.7978,               0.000656,               0.000656,               0.000656
                     50,                0.28209,                0.22812,                0.87159,                0.97309,                0.99803,                0.99445,                0.96112,                0.27086,                0.21043,                0.79246,             0.00064362,             0.00064362,             0.00064362
                     51,                0.28778,                0.23387,                0.88082,                0.99569,                0.99501,                  0.995,                0.96319,                 0.2743,                0.19297,                0.79927,             0.00063125,             0.00063125,             0.00063125
                     52,                0.27999,                0.22833,                0.88269,                0.99023,                0.99643,                  0.995,                0.96392,                 0.2783,                0.18945,                0.78898,             0.00061887,             0.00061887,             0.00061887
                     53,                0.28654,                0.22936,                0.87105,                0.99392,                0.98864,                0.99457,                0.95992,                0.26651,                0.17983,                0.78788,              0.0006065,              0.0006065,              0.0006065
                     54,                0.27856,                0.22403,                0.87774,                0.99227,                      1,                  0.995,                0.96222,                0.25386,                0.17011,                0.78474,             0.00059413,             0.00059413,             0.00059413
                     55,                0.28523,                0.22521,                0.87665,                0.99617,                0.97793,                0.99336,                0.96172,                0.26132,                0.20512,                0.78245,             0.00058175,             0.00058175,             0.00058175
                     56,                 0.2789,                0.21935,                0.87877,                0.98763,                0.98327,                 0.9938,                0.96226,                0.26358,                0.17417,                0.78899,             0.00056938,             0.00056938,             0.00056938
                     57,                0.29103,                0.22228,                0.87813,                 0.9806,                0.99555,                0.99402,                0.96867,                0.26668,                0.16323,                0.79255,               0.000557,               0.000557,               0.000557
                     58,                0.27268,                0.21146,                0.86737,                0.99185,                0.99806,                  0.995,                 0.9692,                0.25371,                0.15937,                0.78395,             0.00054463,             0.00054463,             0.00054463
                     59,                0.26984,                0.22034,                 0.8666,                0.99578,                      1,                  0.995,                0.96426,                0.26579,                0.17612,                 0.7901,             0.00053225,             0.00053225,             0.00053225
                     60,                0.27442,                0.21227,                0.87274,                0.99713,                0.98832,                  0.995,                 0.9594,                0.29163,                0.19554,                0.80302,             0.00051988,             0.00051988,             0.00051988
                     61,                0.27708,                0.22118,                0.87135,                0.99706,                0.98865,                  0.995,                0.95878,                0.26457,                0.18676,                0.79161,              0.0005075,              0.0005075,              0.0005075
                     62,                0.27161,                0.21125,                0.87311,                0.99662,                0.98805,                  0.995,                0.96611,                0.24272,                0.16608,                0.78266,             0.00049513,             0.00049513,             0.00049513
                     63,                0.26844,                0.21003,                0.86596,                0.99509,                      1,                  0.995,                0.96924,                0.25744,                0.17141,                0.79062,             0.00048275,             0.00048275,             0.00048275
                     64,                0.26464,                0.21059,                0.86946,                0.99691,                0.97474,                0.99402,                0.96258,                0.24751,                  0.164,                 0.7794,             0.00047038,             0.00047038,             0.00047038
                     65,                0.24861,                0.19709,                0.87021,                  0.997,                      1,                  0.995,                0.96998,                0.25369,                0.17161,                0.78279,               0.000458,               0.000458,               0.000458
                     66,                0.26657,                0.20555,                0.86921,                 0.9971,                      1,                  0.995,                0.96986,                0.24609,                0.15947,                 0.7823,             0.00044563,             0.00044563,             0.00044563
                     67,                0.25524,                0.20026,                 0.8657,                0.99506,                      1,                  0.995,                0.97051,                0.25021,                0.16313,                0.78157,             0.00043325,             0.00043325,             0.00043325
                     68,                0.25545,                0.19855,                0.86716,                0.99687,                      1,                  0.995,                0.97082,                0.25321,                0.16663,                0.78581,             0.00042087,             0.00042087,             0.00042087
                     69,                0.26188,                 0.2028,                0.87069,                0.99622,                      1,                  0.995,                0.96545,                0.24192,                0.15015,                 0.7891,              0.0004085,              0.0004085,              0.0004085
                     70,                0.26273,                0.20371,                0.86909,                0.99641,                      1,                  0.995,                0.96869,                0.23995,                0.16279,                0.78747,             0.00039613,             0.00039613,             0.00039613
                     71,                0.24962,                0.19409,                 0.8641,                0.99698,                      1,                  0.995,                 0.9682,                0.24677,                0.16037,                0.78202,             0.00038375,             0.00038375,             0.00038375
                     72,                0.25483,                0.19792,                0.86739,                0.99649,                      1,                  0.995,                0.96784,                0.24824,                0.15184,                0.78296,             0.00037138,             0.00037138,             0.00037138
                     73,                0.25339,                0.19753,                0.87048,                0.99593,                      1,                  0.995,                0.97127,                 0.2425,                0.15834,                0.78355,               0.000359,               0.000359,               0.000359
                     74,                0.24877,                0.19354,                0.86922,                0.99677,                      1,                  0.995,                0.96819,                0.24332,                0.15617,                0.78155,             0.00034663,             0.00034663,             0.00034663
                     75,                0.24647,                0.19096,                0.86407,                0.99608,                      1,                  0.995,                0.97634,                0.24094,                0.15409,                0.77921,             0.00033425,             0.00033425,             0.00033425
                     76,                0.24846,                0.19305,                0.86816,                0.99738,                      1,                  0.995,                0.97381,                0.24818,                  0.155,                0.77762,             0.00032188,             0.00032188,             0.00032188
                     77,                0.24661,                0.19264,                0.86386,                0.99734,                      1,                  0.995,                 0.9735,                0.24366,                0.15392,                0.78408,              0.0003095,              0.0003095,              0.0003095
                     78,                0.24596,                0.18616,                0.87071,                0.99656,                      1,                  0.995,                 0.9701,                0.23493,                0.14888,                 0.7747,             0.00029713,             0.00029713,             0.00029713
                     79,                0.24029,                0.18897,                0.86601,                0.99676,                      1,                  0.995,                0.96763,                0.23888,                0.14921,                 0.7819,             0.00028475,             0.00028475,             0.00028475
                     80,                0.24001,                0.18988,                0.86349,                0.99541,                      1,                  0.995,                0.96708,                0.24826,                0.14601,                0.78949,             0.00027237,             0.00027237,             0.00027237
                     81,                0.24154,                0.18148,                0.86255,                0.99728,                      1,                  0.995,                0.97091,                0.24322,                0.14445,                0.78338,                0.00026,                0.00026,                0.00026
                     82,                0.24073,                0.18484,                0.86673,                0.99706,                      1,                  0.995,                0.97063,                0.23651,                0.15884,                0.78315,             0.00024762,             0.00024762,             0.00024762
                     83,                0.24407,                0.18415,                0.85908,                0.98049,                      1,                  0.995,                0.97163,                0.24346,                0.16327,                0.78035,             0.00023525,             0.00023525,             0.00023525
                     84,                0.23784,                0.18171,                0.86394,                0.99574,                0.99889,                  0.995,                0.97369,                0.24822,                0.15387,                0.78208,             0.00022288,             0.00022288,             0.00022288
                     85,                0.22857,                0.17512,                0.85837,                0.97754,                0.99768,                  0.995,                  0.973,                0.23876,                0.15586,                0.78236,              0.0002105,              0.0002105,              0.0002105
                     86,                0.23106,                0.18197,                0.86305,                0.99438,                      1,                  0.995,                0.97298,                0.24337,                0.15495,                0.78478,             0.00019813,             0.00019813,             0.00019813
                     87,                0.23776,                0.18426,                0.86048,                0.99142,                0.99845,                  0.995,                0.97361,                0.24091,                0.14736,                0.77801,             0.00018575,             0.00018575,             0.00018575
                     88,                0.23013,                0.17426,                0.85686,                0.99616,                      1,                  0.995,                0.97248,                0.24508,                0.14794,                0.78863,             0.00017338,             0.00017338,             0.00017338
                     89,                0.23099,                 0.1801,                0.85758,                0.99685,                      1,                  0.995,                0.97397,                0.24192,                0.14361,                0.79209,               0.000161,               0.000161,               0.000161
                     90,                0.22694,                0.17562,                0.86376,                0.99754,                      1,                  0.995,                 0.9691,                0.24125,                0.14361,                0.78678,             0.00014862,             0.00014862,             0.00014862
                     91,                0.21189,                0.16358,                0.82384,                0.99719,                0.99846,                  0.995,                0.96856,                0.23857,                0.14609,                0.78908,             0.00013625,             0.00013625,             0.00013625
                     92,                0.19828,                0.14632,                0.82125,                0.99623,                      1,                  0.995,                0.96866,                0.24486,                0.14543,                0.79045,             0.00012387,             0.00012387,             0.00012387
                     93,                0.20254,                0.14809,                0.82204,                0.99727,                0.99862,                  0.995,                0.97025,                0.23357,                0.15147,                0.78295,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.1975,                0.14415,                0.82405,                0.99792,                0.99706,                  0.995,                0.97069,                0.24148,                0.15117,                0.77711,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.19492,                0.14146,                  0.818,                0.99667,                0.99645,                  0.995,                0.97524,                0.22686,                0.14787,                0.77746,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.18845,                 0.1371,                0.81648,                0.99828,                0.99645,                  0.995,                0.97736,                0.22913,                0.14666,                0.77584,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.18714,                0.13683,                0.81369,                0.99729,                0.99801,                  0.995,                0.97764,                0.23024,                0.13944,                0.77719,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.18267,                0.13291,                0.81368,                 0.9981,                0.99775,                  0.995,                0.97543,                0.23161,                0.13474,                0.77538,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.18508,                0.13148,                0.80975,                0.99851,                0.99676,                  0.995,                0.97776,                0.22325,                0.13381,                0.77315,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.18443,                0.12887,                0.81949,                0.99851,                0.99642,                  0.995,                0.98033,                0.22071,                0.13243,                  0.772,             2.4875e-05,             2.4875e-05,             2.4875e-05
